Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Yorba,6/24/2021,Deuce Coupe,Missing crank arm,,,"Done, Needs to be Ordered",https://www.notion.so/Crank-arm-Cotterless-62bff8509f234fe8888ef943700fd0bf,,Rob,,6/30/2021,Robert Mounce,,"June 29, 2021 10:00 AM-10:30 AM",,4,5,
Waterfront,6/24/2021,Cruiser,Needs new front rim,,,Done,https://www.notion.so/Cruiser-front-wheel-Rim-bb53e2df953c467a9795b7a829e57165,8,Jonathan,Down,7/13/2021,Jonathan Soliz,Robert Mounce,,,,,2
Waterfront,6/24/2021,Cruiser,Needs front wheel,Grab From Yorba,,Done,https://www.notion.so/Cruiser-front-wheel-Rim-bb53e2df953c467a9795b7a829e57165,7,Jonathan,Down,7/11/2021,Jonathan Soliz,Jonathan Soliz,"July 11, 2021",,,,2
Waterfront,6/25/2021,Cruiser,Flat tire,waiting for inter tube,,"Done, Planned",,17,Evan,Down,7/4/2021,Jonathan Soliz,Jonathan Soliz,"June 29, 2021",,,,
Waterfront,6/25/2021,Double Surrey,bent pedal,,,Done,,8,jarel,Down,6/29/2021,Robert Mounce,Jonathan Soliz,"June 29, 2021",,,,
Waterfront,6/26/2021,Single Surrey,brake handle does not go all the way down,"2nd time, Handle is tightening itself",,Done,,2,jarel,Down,6/29/2021,Jonathan Soliz,Jonathan Soliz,"June 29, 2021",,,,
Waterfront,6/26/2021,Double Surrey,bent pedal,,,"Done, Planned",,9,jarel,Down,6/29/2021,Robert Mounce,Jonathan Soliz,"June 29, 2021",,,,
Waterfront,6/26/2021,Single Surrey,pedal is off,,,"Done, Planned",,6,jarel,Down,6/29/2021,Robert Mounce,Jonathan Soliz,"June 29, 2021",,,,
Yorba,6/27/2021,Double Surrey,Outside of front passenger wheel is beginning to chip. Might need to be looked at.,,,,,4,Angel,Maintaince,6/27/2021,Robert Mounce,,,,,,
Waterfront,6/27/2021,Cruiser,Flat tire,,,"Done, Planned, Received",,Girl,Julian,Down,7/6/2021,Robert Mounce,Robert Mounce,"July 6, 2021 10:30 AM-10:45 AM",,,,
Yorba,6/28/2021,Single Surrey,Bottom Bracket,Passenger,,Done,https://www.notion.so/Bottom-Bracket-Axle-Sleeve-864cf1c3e92d4560968d8c62fd32e735,2,Rob,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Double Surrey,Bottom Bracket,Rear Passenger,,Done,,5,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Double Surrey,Bottom Bracket,Front Passenger,,Done,,4,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Single Surrey,Bottom Bracket,Both,,Done,,4,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Double Surrey,Bottom Bracket,Pass Front,,Done,,1,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Single Surrey,Bottom Bracket,Both,,Done,,1,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Single Surrey,Tires,Both,,Done,,5,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Single Surrey,Tires,Driver,,Done,https://www.notion.so/Surrey-Rear-Tires-1c5129ebf2ba4e39b657bdc45a18587e,1,,Mechanic,7/21/2021,Robert Mounce,,,,,,
Yorba,6/28/2021,Single Surrey,Tires,Both,,,https://www.notion.so/Surrey-Rear-Tires-1c5129ebf2ba4e39b657bdc45a18587e,3,,Mechanic,7/26/2021,Robert Mounce,Jonathan Soliz,,,,,
Yorba,6/28/2021,Swan Boat,U bolts,,,,,,,Maintaince,6/29/2021,Robert Mounce,,"June 29, 2021 10:30 AM-11:00 AM",,,,
Edinger,6/28/2021,Double Surrey,It has a broken peddle,,,Done,,1,Angelique,Down,7/2/2021,Robert Mounce,,,,,,
Yorba,6/29/2021,Swan Boat,Clean Swan Boat tops with power washer,,,,,,,Maintaince,6/29/2021,Robert Mounce,,"June 29, 2021 11:00 AM-12:00 PM",,,,
Yorba,6/29/2021,,Wash the sides of shipping containers,,,,,,,Maintaince,6/29/2021,Robert Mounce,,"June 29, 2021 11:00 AM-12:00 PM",,,,
Yorba,6/29/2021,,Finalize Order,,,,,,,,6/29/2021,Robert Mounce,,"June 29, 2021 1:00 PM-2:00 PM",,,,
,6/29/2021,,Specialty Skins,,,,,,,,6/29/2021,Robert Mounce,,"June 29, 2021 1:45 PM-2:45 PM",,,,
,6/29/2021,,Cruiser Chains,,,,,,,,6/29/2021,Robert Mounce,,"June 29, 2021 10:15 AM-11:15 AM",,,,
Yorba,6/29/2021,Double Surrey,Two front tires flat,,,Done,,No number,Ruben,Down,6/29/2021,Robert Mounce,,,,,,
Waterfront,6/29/2021,Single Surrey,Snapped brake cable,,,Done,,3,Jon,Down,6/29/2021,Jonathan Soliz,,,,,,
Yorba,7/1/2021,Infinity Bike,No kick stand,,,,,Na,Ruben,Maintaince,7/1/2021,Robert Mounce,,,,,,
Yorba,7/1/2021,Infinity Bike,Need new front inner tube,,,Done,,….,Nathan,Down,7/18/2021,Jonathan Soliz,Robert Mounce,"July 8, 2021 6:00 PM",,,,
Yorba,7/1/2021,Double Surrey,Loose crank front passenger (no available crank tool) all tools need to be available at location for employees,,,Done,,8,Vincent,Down,7/7/2021,Robert Mounce,,,,,,
Yorba,7/1/2021,Infinity Bike,No kickstand,,,Done,,...,Vincent,Down,7/8/2021,Robert Mounce,,"July 8, 2021 5:00 PM",,,,
Yorba,7/1/2021,Single Surrey,Brake adjustment,,,Done,,4,Vince,Maintaince,7/21/2021,Robert Mounce,,,,,,
Waterfront,7/1/2021,Deuce Coupe,Chain broke,,,Done,,2,Ally,Down,7/4/2021,Jonathan Soliz,,,,,,
Waterfront,7/6/2021,Deuce Coupe,Chain off,Chain guard came off,,"Done, Planned",,,Rob,Down,7/6/2021,Robert Mounce,Robert Mounce,"July 6, 2021 1:00 PM-1:30 PM",,,,
Waterfront,7/6/2021,Deuce Coupe,Chain is off,,,"Done, Planned",,,,Down,7/6/2021,Robert Mounce,,"July 6, 2021 1:00 PM-1:30 PM",,,,
Waterfront,7/6/2021,Cruiser,Chain is off,,,Done,,10,,Down,7/6/2021,Robert Mounce,,"July 6, 2021",,,,
Yorba,7/6/2021,Double Surrey,Needs a crank replace,,,Done,https://www.notion.so/Crank-arm-non-driver-side-2e89de69d521437fae2ea2ff854f8a5a,2,Ruben,Down,7/8/2021,Robert Mounce,,"July 8, 2021 10:00 AM",,,,
